task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
B,113256995,56590616,0,56566266,50
F,113406995,56611494,0,56695388,50
F,113906995,56861484,0,56945398,50
B,114356995,57140594,0,57116288,50
F,114406995,57111474,0,57195408,50
F,114906995,57361464,0,57445418,50
F,115406995,57611454,0,57695428,50
B,115456995,57690572,0,57666310,50
F,115906995,57861444,0,57945438,50
F,116406995,58111434,0,58195448,50
B,116556995,58240550,0,58216332,50
F,116906995,58361424,0,58445458,50
F,117406995,58611414,0,58695468,50
B,117656995,58790528,0,58766354,50
F,117906995,58861404,0,58945478,50
F,118406995,59111394,0,59195488,50
B,118756995,59340506,0,59316376,50
F,118906995,59361384,0,59445498,50
F,119406995,59611374,0,59695508,50
B,119854995,59890484,0,59864398,50
F,119904995,59859364,0,59945518,50
F,120404995,60109354,0,60195528,50
F,120902995,60358344,0,60445538,50
B,120951995,60440462,0,60412420,49
F,121401995,60606334,0,60695548,50
F,121901995,60856324,0,60945558,50
B,122051995,60990440,0,60961442,50
F,122401995,61106314,0,61195568,50
F,122901995,61356304,0,61445578,50
B,123151995,61540418,0,61511464,50
F,123401995,61606294,0,61695588,50
F,123901995,61856284,0,61945598,50
B,124251995,62090396,0,62061486,50
F,124401995,62106274,0,62195608,50
F,124901995,62356264,0,62445618,50
B,125351995,62640374,0,62611508,50
F,125401995,62606254,0,62695628,50
F,125901995,62856244,0,62945638,50
F,126401995,63106234,0,63195648,50
B,126451995,63190352,0,63161530,50
F,126901995,63356224,0,63445658,50
F,127399995,63604214,0,63695668,50
B,127549995,63740330,0,63709552,50
F,127899995,63854204,0,63945678,50
F,128399995,64104194,0,64195688,50
B,128649995,64290308,0,64259574,50
F,128898995,64354184,0,64445698,50
F,129398995,64603174,0,64695708,50
B,129748995,64840286,0,64808596,50
F,129898995,64853164,0,64945718,50
F,130398995,65103154,0,65195728,50
B,130848995,65390264,0,65358618,50
F,130898995,65353144,0,65445738,50
F,131396995,65603134,0,65693748,50
F,131895995,65853124,0,65942758,50
B,131944995,65937242,0,65908640,49
F,132387995,66097114,0,66192768,50
F,132886995,66344104,0,66442778,50
B,133036995,66487220,0,66449662,50
F,133386995,66594094,0,66692788,50
F,133884995,66843084,0,66941798,50
B,134134995,67036198,0,66998684,50
F,134384995,67093074,0,67191808,50
F,134884995,67343064,0,67441818,50
B,135234995,67586176,0,67548706,50
F,135384995,67593054,0,67691828,50
